PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,SEASON_EXP,DRAFT_NUMBER,PRA,TOT_GAMES,GP_pct,Opp_met,DRAFT_BUCKET
1643024,Chris Mañon,Chris,1610612747,LAL,23.0,2,1,1,0.5,3.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,2.7,0,0,2.0,462,433,430,248,472,479,478,479,416,413,416,444,447,444,452,385,422,461,455,443,127,418,368,458,481,181,472,145,17,475,1,0,61,1.0,20,0.1,0.385,15
1642959,Chris Youngblood,Chris,1610612760,OKC,23.0,16,16,0,1.0,5.0,0.4,1.4,0.318,0.4,1.2,0.316,0.4,0.4,1.0,0.1,0.6,0.7,0.3,0.1,0.1,0.0,0.0,0.7,0.3,1.6,0.1,3.0,0,0,3.1,224,9,469,1,449,464,452,449,338,353,287,361,399,1,439,437,451,438,453,442,406,418,422,418,449,227,466,145,17,460,1,0,61,2.6,21,0.7619047619047619,3.8476190476190473,15
1642935,Chucky Hepburn,Chucky,1610612761,TOR,22.0,1,0,1,0.0,4.9,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-4.0,4.2,0,0,3.0,479,468,430,468,451,479,362,479,416,270,416,444,447,444,452,385,422,461,455,99,406,418,368,277,481,407,445,145,17,461,1,0,61,1.0,22,0.0454545454545454,0.1336363636363636,15
1642867,Collin Murray-Boyles,Collin,1610612761,TOR,20.0,17,11,6,0.647,18.1,2.7,5.1,0.535,0.5,1.3,0.409,1.2,1.8,0.667,1.8,1.6,3.4,1.2,1.0,0.7,0.3,0.1,2.2,1.0,7.1,-1.9,15.0,0,0,14.2,196,109,244,150,263,248,279,90,305,345,99,219,193,342,72,304,210,297,222,222,220,386,161,277,254,317,276,145,17,277,1,0,9,11.7,22,0.7727272727272727,11.328954545454549,9
1642843,Cooper Flagg,Cooper,1610612742,DAL,18.0,21,7,14,0.333,33.9,6.6,14.2,0.466,1.0,3.7,0.256,2.9,3.6,0.8,1.2,5.4,6.6,3.4,2.1,1.4,0.6,0.8,2.3,3.3,17.0,-7.4,33.9,3,0,32.0,32,220,43,337,32,61,58,228,234,165,356,83,85,178,134,39,51,98,71,48,102,57,122,75,79,472,64,49,17,74,1,0,1,27.0,22,0.9545454545454546,8.413363636363636,1
1642938,Curtis Jones,Curtis,1610612743,DEN,24.0,1,1,0,1.0,1.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.2,0,0,1.0,479,433,469,1,489,479,464,479,416,363,416,444,447,444,452,385,422,461,455,443,406,418,481,458,481,104,485,145,17,484,1,0,61,1.0,20,0.05,0.0975,15
1641747,DaRon Holmes II,DaRon,1610612743,DEN,23.0,2,2,0,1.0,2.2,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.5,-1.0,1.5,0,0,2.0,462,391,469,1,488,450,478,1,308,413,1,444,447,444,452,475,480,461,455,443,406,418,444,458,453,278,483,145,17,475,1,0,22,1.5,20,0.1,0.198,15
1642874,Danny Wolf,Danny,1610612751,BKN,21.0,6,1,5,0.167,11.7,2.0,4.7,0.429,1.0,2.3,0.429,1.5,1.7,0.9,0.7,2.3,3.0,1.3,0.3,0.0,0.2,0.0,1.2,1.0,6.5,1.0,12.3,0,0,12.2,408,433,290,425,357,301,296,316,214,256,77,173,201,66,246,230,241,274,397,443,307,418,346,277,266,181,307,145,17,305,1,0,27,10.8,20,0.3,3.861,15
1642357,David Jones Garcia,David,1610612759,SAS,24.0,8,5,3,0.625,6.6,1.3,2.4,0.526,0.1,0.3,0.5,0.3,0.6,0.4,0.5,0.9,1.4,1.6,0.4,0.5,0.1,0.4,0.5,0.6,2.9,4.6,8.5,0,0,7.3,373,275,368,162,436,366,399,103,397,437,26,396,353,433,286,410,391,242,385,297,342,221,444,350,388,67,365,145,17,382,1,0,61,5.9,20,0.4,3.8544,15
1642852,Derik Queen,Derik,1610612740,NOP,20.0,22,3,19,0.136,24.3,4.6,9.6,0.483,0.1,0.8,0.118,3.0,3.8,0.774,1.9,4.4,6.2,3.5,2.2,1.0,0.7,0.6,3.2,3.0,12.3,-5.8,28.1,1,0,25.7,1,347,1,448,187,134,141,188,403,394,405,81,78,233,62,81,64,91,66,98,83,103,26,85,146,454,116,95,17,131,1,0,13,22.0,22,1.0,10.206,13
1642962,Drake Powell,Drake,1610612751,BKN,20.0,14,3,11,0.214,19.5,2.4,4.7,0.5,0.7,1.9,0.37,1.2,1.3,0.944,0.3,1.6,1.9,2.0,1.1,0.9,0.1,0.4,1.9,0.8,6.6,-4.1,13.9,0,0,13.4,274,347,99,405,244,270,295,140,268,278,172,214,257,43,387,316,348,194,193,140,329,232,222,323,262,415,288,145,17,287,1,0,22,10.5,20,0.7,8.0535,15
1642928,Dylan Cardwell,Dylan,1610612758,SAC,23.0,3,1,2,0.333,10.8,0.7,2.0,0.333,0.0,0.3,0.0,0.3,0.7,0.5,0.7,1.0,1.7,0.0,0.7,0.7,1.0,0.7,3.3,0.7,1.7,-2.7,8.0,0,0,6.7,446,433,401,337,372,433,416,439,416,428,416,371,338,401,246,385,367,461,307,236,43,89,19,339,444,355,375,145,17,394,1,0,61,3.4,21,0.1428571428571428,1.1262857142857143,15
1642844,Dylan Harper,Dylan,1610612759,SAS,19.0,10,8,2,0.8,21.2,5.1,10.1,0.505,0.7,2.1,0.333,2.5,3.3,0.758,0.9,1.9,2.8,3.4,1.1,1.0,0.0,0.9,2.4,2.1,13.4,3.6,23.8,0,0,22.3,352,193,401,46,224,113,127,133,271,265,242,96,98,256,189,276,261,96,203,99,406,40,106,140,126,89,158,145,17,162,1,0,2,19.6,20,0.5,14.416,2
1642856,Egor Dëmin,Egor,1610612751,BKN,19.0,18,4,14,0.222,22.9,3.1,8.1,0.377,1.9,5.4,0.347,0.6,0.7,0.833,0.6,2.9,3.6,3.6,1.6,0.8,0.4,0.4,1.8,1.0,8.6,-4.6,20.2,0,0,20.0,166,305,43,402,201,226,179,388,94,82,216,323,338,137,270,174,193,89,123,162,172,214,251,277,219,429,197,145,17,195,1,0,8,15.8,20,0.9,11.1294,8
